_RAJ2000,_DEJ2000,ID,Nsp,Type,z,f_z,OName,RAJ2000,DEJ2000,RAH,DEH,AOffset,e_AOffset,POffset,e_POffset,E(B-V),E(B-V)h,FUVMag,BMag,KsMag,logSFR,logM,logsSFR,Age,Np,Simbad,recno
03 50 24.421933,+69 25 23.36480,PTF12ggi,1,SNII,0.019,MATCHING,,03 50 24.4219,+69 25 23.3648,03 50 27.6732,+69 59 34.06,20.476,0.093,8.156,0.037,0.5,0.09,-18.16,-19.73,-20.46,0.04,9.71,-9.67,5.55,12,Simbad,452
15 54 53.023733,+03 32 07.49720,PTF12glz,1,SNIIn,0.08,GAL.LINES,,15 54 53.0237,+03 32 07.4972,15 54 52.8794,+03 39 39.43,2.166,0.136,3.378,0.212,0.13,0.17,-17.33,-19.64,-20.37,-0.12,9.8,-9.92,3.12,15,Simbad,453
15 58 49.248000,+36 10 10.78860,PTF12gnn,1,SNII,0.0308,GAL.LINES,,15 58 49.2480,+36 10 10.7886,15 58 49.2506,+36 20 36.60,0.181,0.126,0.115,0.08,0.02,0.32,-12.58,-15.16,-16.52,-1.22,8.11,-9.35,3.21,10,Simbad,454
17 27 47.312400,+26 51 21.71990,PTF12gnt,1,SNII,0.02911,NED,,17 27 47.3124,+26 51 21.7199,17 27 47.1959,+27 12 23.86,1.592,0.104,0.96,0.063,0.04,0.31,-17.65,-20.3,-21.79,0.67,10.42,-9.75,7.78,17,Simbad,455
00 05 32.283867,-06 38 35.02570,PTF12gpn,1,SNIIb,0.02165,NED,,00 05 32.2839,-06 38 35.0257,00 05 32.9040,-07 12 43.98,9.243,0.154,4.181,0.07,0.03,0.38,-16.28,-19.5,-21.37,0.36,10.32,-9.96,7.31,15,Simbad,456
02 37 49.712600,-11 00 30.01820,PTF12gps,1,SNIb,0.016265,NED,,02 37 49.7126,-11 00 30.0182,02 37 49.8005,-11 36 24.49,6.52,0.099,2.23,0.034,0.02,0.17,-17.27,-19.33,-20.2,-0.05,9.67,-9.74,4.41,10,Simbad,457
01 20 39.002933,+04 46 23.73200,PTF12grj,1,SNII,0.034,GAL.LINES,,01 20 39.0029,+04 46 23.7320,01 20 39.0959,+05 07 37.34,2.527,0.224,1.769,0.157,0.02,0.06,-15.45,-17.01,-17.51,-1.25,8.62,-9.88,5.12,13,Simbad,458
16 25 14.677733,+24 23 19.29700,PTF12grr,1,SNIc-BL,0.171,MATCHING,,16 25 14.6777,+24 23 19.2970,,,,,,,0.04,1.06,-4.27,-10.75,-14.44,-1.26,6.66,-8.01,0.22,3,Simbad,459
16 01 15.247200,+21 23 17.44840,PTF12gty,1,SLSN-I,0.1766,GAL.LINES,,16 01 15.2472,+21 23 17.4484,16 01 15.2519,+21 39 35.56,0.858,0.104,2.647,0.321,0.06,0.15,-14.97,-15.71,-15.4,-0.79,6.72,-7.47,0.06,4,Simbad,460
16 05 13.336000,+30 28 06.23350,PTF12gvr,1,SNIbc,0.0555,SDSS,,16 05 13.3360,+30 28 06.2335,16 05 13.0916,+31 26 55.49,7.055,0.172,7.856,0.192,0.03,0.2,-19.43,-21.56,-22.51,0.91,10.73,-9.82,7.45,17,Simbad,461
15 02 32.886000,+08 03 49.34800,PTF12gwu,1,SLSN-II,0.272,MATCHING,,15 02 32.8860,+08 03 49.3480,15 02 32.8760,+08 52 11.28,0.221,0.336,0.948,1.442,0.03,0.3,-14.6,-16.4,-17.21,-0.44,7.89,-8.31,0.47,4,Simbad,462
15 34 59.439000,+05 48 32.00940,PTF12gxj,1,SNII,0.075,GAL.LINES,,15 34 59.4390,+05 48 32.0094,15 34 59.5470,+06 20 22.70,1.653,0.173,2.431,0.254,0.04,0.07,-16.85,-18.22,-18.55,-0.65,9.07,-9.72,7.05,16,Simbad,463
22 12 41.557600,+00 30 43.08340,PTF12gzk,2,SNIc,0.01377,SDSS,,22 12 41.5576,+00 30 43.0834,22 12 41.5447,+01 12 54.59,0.259,0.103,0.075,0.03,0.04,0.1,-13.85,-14.73,-14.49,-1.75,7.32,-9.05,2.86,5,Simbad,464
22 31 55.761933,-06 47 48.34140,PTF12hni,1,cSLSN-I,0.106,GAL.LINES,,22 31 55.7619,-06 47 48.3414,22 31 55.6689,-07 35 02.42,1.417,0.114,2.841,0.229,0.05,0.02,-18.18,-19.5,-19.12,-0.51,9.22,-9.75,1.41,13,Simbad,465
23 04 55.655133,-06 32 11.72690,PTF12hno,1,SNII,0.019937,NED,,23 04 55.6551,-06 32 11.7269,23 04 54.6373,-06 55 10.99,19.009,0.177,7.936,0.074,0.03,0.1,-18.01,-19.6,-20.16,-0.06,9.69,-9.75,6.2,16,Simbad,466
00 55 03.418133,+42 19 51.48300,PTF12hsx,1,SNII,0.019,GAL.LINES,,00 55 03.4181,+42 19 51.4830,00 55 03.3608,+43 13 00.89,2.61,0.095,1.04,0.038,0.08,0.09,-16.96,-18.53,-18.85,-0.58,9.22,-9.82,5.68,14,Simbad,467
21 45 46.316400,-00 03 24.16750,PTF12hvv,2,SNIc,0.02934,SDSS,,21 45 46.3164,-00 03 24.1675,21 45 46.4442,-00 33 23.88,6.519,0.172,3.96,0.104,0.07,0.12,-15.92,-18.19,-18.97,-0.89,9.25,-10.16,4.13,16,Simbad,468
02 17 54.673200,+00 39 46.30720,PTF12hxz,1,SNII,0.12151,SDSS,,02 17 54.6732,+00 39 46.3072,02 17 54.4606,+01 20 33.37,5.721,0.275,12.917,0.621,0.04,0.17,-17.49,-19.45,-20.32,0.05,9.61,-9.59,3.04,14,Simbad,469
22 16 40.206333,-01 08 24.15370,PTF12iet,1,SNII,0.0957,GAL.LINES,,22 16 40.2063,-01 08 24.1537,22 16 40.3240,-01 32 45.75,1.867,0.212,3.42,0.388,0.08,0.1,-15.34,-16.92,-17.94,-0.96,8.76,-9.71,9.04,12,Simbad,470
23 43 44.187800,-14 42 38.82890,PTF12iif,1,SNII,0.024674,NED,,23 43 44.1878,-14 42 38.8289,23 43 44.7042,-15 32 49.36,14.141,0.053,7.264,0.027,0.03,0.24,-16.91,-21.0,-22.73,0.1,10.71,-10.6,3.01,10,Simbad,471
02 24 50.546933,+16 10 52.14140,PTF12iqw,1,SNIIb,0.027316,NED,2012ey,02 24 50.5469,+16 10 52.1414,02 24 51.2123,+16 49 05.18,16.196,0.204,9.181,0.116,0.19,0.1,-18.56,-20.48,-22.16,0.37,10.59,-10.21,10.5,12,Simbad,472
02 32 39.696933,+00 36 59.77080,PTF12izy,1,SNII,0.02077,SDSS,,02 32 39.6969,+00 36 59.7708,02 32 39.2826,+00 39 58.23,6.99,0.271,3.037,0.118,0.03,0.19,-18.13,-20.32,-21.42,0.36,10.21,-9.87,5.86,12,Simbad,473
22 33 27.407333,+00 44 25.16530,PTF12jaa,1,SNIIb,0.023509,NED,,22 33 27.4073,+00 44 25.1653,22 33 27.1640,+01 03 17.60,6.914,0.229,3.389,0.112,0.08,0.07,-17.19,-18.98,-19.53,-0.54,9.62,-10.14,9.22,14,Simbad,474
23 10 12.774733,+30 34 42.43040,PTF12jfp,1,SNII,0.023163,NED,2012fc,23 10 12.7747,+30 34 42.4304,23 10 11.2804,+31 24 34.40,20.945,0.059,10.119,0.029,0.05,0.21,-17.49,-19.54,-20.44,0.17,9.85,-9.68,6.61,10,Simbad,475
23 50 30.151800,+35 53 11.83600,PTF12jfv,1,SNII,0.037,MATCHING,,23 50 30.1518,+35 53 11.8360,23 50 30.2931,+36 04 54.54,1.719,0.128,1.305,0.097,0.07,0.08,-13.75,-15.64,-16.33,-1.83,8.19,-10.04,5.26,12,Simbad,476
22 55 59.925200,+29 06 56.62480,PTF12jgd,1,SNII,0.0676,GAL.LINES,,22 55 59.9252,+29 06 56.6248,22 56 00.4676,+29 52 19.23,12.518,0.178,16.737,0.238,0.06,0.23,-18.96,-21.11,-21.93,0.79,10.45,-9.67,4.05,17,Simbad,477
23 38 20.023733,+31 57 39.38180,PTF12jgi,1,SNII,0.058,MATCHING,,23 38 20.0237,+31 57 39.3818,23 38 20.2106,+32 41 40.48,5.803,0.148,6.733,0.172,0.07,0.05,-16.57,-18.03,-18.37,-0.85,9.11,-9.96,8.79,14,Simbad,478
01 20 14.864200,+20 14 09.88480,PTF12jiv,1,SNIIn,0.0336,GAL.LINES,,01 20 14.8642,+20 14 09.8848,01 20 14.8767,+20 23 33.82,0.366,0.118,0.253,0.082,0.05,0.16,-15.96,-17.58,-18.13,-0.64,8.94,-9.59,8.65,16,Simbad,479
00 52 22.458600,+21 09 09.15160,PTF12jje,2,SNIIn,0.043,MATCHING,,00 52 22.4586,+21 09 09.1516,00 52 22.6063,+21 12 04.55,6.417,0.137,5.619,0.12,0.03,0.11,-17.03,-19.42,-20.4,-0.44,9.95,-10.4,7.45,16,Simbad,480
01 39 59.254800,+21 28 59.01780,PTF12jjg,1,SNII,0.0437,GAL.LINES,,01 39 59.2548,+21 28 59.0178,01 39 59.2125,+22 25 45.06,1.398,0.098,1.243,0.087,0.06,0.09,-15.97,-18.12,-18.8,-0.97,9.2,-10.23,4.69,14,Simbad,481
08 10 51.242667,+65 40 08.58470,PTF12jqj,1,SNIIn,0.099,MATCHING,,08 10 51.2427,+65 40 08.5847,08 10 51.4909,+65 44 44.03,4.145,0.159,7.824,0.3,0.03,0.26,-17.85,-20.51,-21.88,0.5,10.52,-10.03,7.61,17,Simbad,482
08 32 45.230600,+57 32 32.75090,PTF12jut,1,SNII,0.044,MATCHING,,08 32 45.2306,+57 32 32.7509,08 32 45.8069,+58 06 46.21,5.06,0.205,4.529,0.183,0.07,0.19,-15.89,-18.03,-18.81,-0.61,9.12,-9.76,2.92,17,Simbad,483
08 31 10.142800,+50 11 09.16220,PTF12jvp,1,SNII,0.05933,SDSS,,08 31 10.1428,+50 11 09.1622,08 31 10.5117,+50 18 35.97,3.873,0.168,4.589,0.199,0.03,0.1,-18.07,-19.59,-19.91,-0.08,9.59,-9.67,4.07,17,Simbad,484
07 45 05.036200,+45 01 37.14960,PTF12jvy,1,SNIIn,0.04943,SDSS,,07 45 05.0362,+45 01 37.1496,07 45 05.0539,+45 33 52.82,4.273,0.173,4.268,0.173,0.04,0.08,-16.33,-18.39,-18.93,-0.85,9.38,-10.25,6.67,14,Simbad,485
09 37 29.835533,+23 09 50.10230,PTF12jxd,1,SNIc,0.02503,SDSS,,09 37 29.8355,+23 09 50.1023,09 37 29.8385,+23 50 49.57,8.276,0.173,4.311,0.09,0.03,0.22,-18.92,-21.16,-22.85,1.01,10.68,-9.65,6.47,16,Simbad,486
09 24 38.107333,+49 21 34.46460,PTF12jxe,1,SNII,0.01626,SDSS,2012fg,09 24 38.1073,+49 21 34.4646,09 24 37.7464,+49 46 21.80,9.76,0.191,3.338,0.065,0.02,0.09,-18.98,-21.33,-22.68,0.4,10.76,-10.37,6.35,12,Simbad,487
04 00 24.842400,-10 34 18.20570,PTF12khf,1,SNII,0.0336,GAL.LINES,,04 00 24.8424,-10 34 18.2057,04 00 25.1494,-10 47 38.60,6.427,0.153,4.448,0.106,0.06,0.22,-16.58,-18.84,-20.15,-0.05,9.67,-9.72,7.58,11,Simbad,488
23 47 10.145000,-13 14 57.81080,PTF12khj,1,SNII,0.0707,GAL.LINES,,23 47 10.1450,-13 14 57.8108,23 47 10.0431,-14 06 38.93,5.372,0.111,7.485,0.155,0.03,0.13,-17.52,-19.72,-20.33,-0.2,9.77,-10.02,2.96,10,Simbad,489
01 39 16.378600,-07 33 28.77520,PTF12kph,1,SNIIn,0.059,GAL.LINES,,01 39 16.3786,-07 33 28.7752,01 39 16.3953,-08 01 56.34,0.298,0.171,0.351,0.202,0.02,0.26,-17.83,-20.09,-21.18,0.51,10.23,-9.71,8.75,15,Simbad,490
22 48 16.663733,+24 08 57.73700,PTF12krf,1,SNII,0.0626,GAL.LINES,,22 48 16.6637,+24 08 57.7370,22 48 16.4702,+24 10 15.14,4.401,0.139,5.481,0.173,0.15,0.19,-18.34,-20.72,-21.73,0.37,10.47,-10.12,6.81,16,Simbad,491
04 36 10.918400,-05 04 53.28620,PTF12kso,1,SNII,0.0292,GAL.LINES,2012gg,04 36 10.9184,-05 04 53.2862,04 36 11.0588,-05 56 17.06,2.325,0.094,1.406,0.057,0.06,0.13,-13.82,-14.59,-15.05,-1.26,6.64,-7.84,0.16,6,Simbad,492
04 11 46.148600,-12 28 01.38320,PTF12ksy,1,SNIIn,0.030761,NED,,04 11 46.1486,-12 28 01.3832,04 11 44.9675,-13 24 11.85,17.798,0.058,11.315,0.037,0.04,0.26,-17.74,-20.51,-22.04,0.51,10.51,-10.0,5.94,12,Simbad,493
02 07 22.048000,-04 21 45.87080,PTF12kth,1,SNII,0.029,MATCHING,,02 07 22.0480,-04 21 45.8708,02 07 21.9691,-05 09 55.42,3.273,0.231,1.966,0.139,0.02,0.09,-14.17,-15.48,-15.89,-1.58,7.87,-9.44,4.86,11,Simbad,494
04 26 20.467600,-10 06 12.74220,PTF12ktu,1,SNIc,0.031141,NED,,04 26 20.4676,-10 06 12.7422,04 26 20.5395,-10 59 28.20,18.303,0.262,11.774,0.169,0.06,0.31,-19.82,-22.43,-24.17,1.62,11.26,-9.63,6.72,10,Simbad,495
08 51 19.592533,+72 36 04.72640,PTF12lbj,1,SNII,0.0621,GAL.LINES,,08 51 19.5925,+72 36 04.7264,08 51 20.5526,+72 41 52.70,4.458,0.121,5.511,0.15,0.12,0.25,-16.85,-19.54,-20.62,0.01,9.91,-9.94,3.06,10,Simbad,496
23 45 10.830933,+23 09 16.95960,PTF12ldy,1,SNIbn,0.1061,GAL.LINES,,23 45 10.8309,+23 09 16.9596,23 45 10.8410,+23 25 55.72,0.143,0.172,0.287,0.345,0.05,0.18,-15.58,-18.11,-19.59,-0.68,9.6,-10.27,8.4,13,Simbad,497
08 12 48.972133,+46 17 00.54280,PTF12ljg,1,SNII,0.0317,GAL.LINES,,08 12 48.9721,+46 17 00.5428,08 12 48.9169,+46 18 52.53,1.45,0.13,0.949,0.085,0.04,0.04,-13.47,-15.05,-15.25,-2.2,7.78,-10.02,4.42,7,Simbad,498
10 13 47.968733,+03 26 02.37840,PTF12lpo,1,SNIbc,0.004486,NED,2012cw,10 13 47.9687,+03 26 02.3784,10 13 45.6705,+03 54 12.89,47.791,0.157,4.575,0.015,0.03,0.24,-15.47,-20.33,-22.32,-0.61,10.47,-11.09,2.24,17,Simbad,499
07 16 41.841133,+43 59 55.93630,PTF12ltw,1,SNIb,0.064,MATCHING,,07 16 41.8411,+43 59 55.9363,07 16 42.1658,+44 04 22.18,9.132,0.312,11.609,0.397,0.07,0.25,-19.14,-21.71,-22.9,0.94,10.9,-9.95,5.74,9,Simbad,500
12 34 03.464800,+13 00 37.36980,PTF12lvj,1,SNII,0.04286,NED,,12 34 03.4648,+13 00 37.3698,12 34 03.5199,+13 41 34.43,4.28,0.187,3.736,0.163,0.03,0.06,-17.46,-20.41,-20.94,-0.54,10.17,-10.76,4.76,12,Simbad,501
12 35 11.309133,-00 13 16.27820,PTF12lvs,1,SNII,0.022966,NED,,12 35 11.3091,-00 13 16.2782,12 35 10.6636,-00 29 21.82,9.683,0.218,4.639,0.104,0.02,0.18,-18.86,-21.4,-22.97,0.73,10.86,-10.15,6.35,15,Simbad,502
10 38 40.012933,-28 34 04.91300,PTF12lvt,1,SNIb,0.011535,NED,,10 38 40.0129,-28 34 04.9130,10 38 40.2009,-28 41 39.50,3.697,0.054,0.902,0.013,0.06,0.25,-15.93,-19.29,-20.88,-0.25,9.99,-10.29,3.41,10,Simbad,503
01 27 31.436200,+14 49 05.36450,PTF12mau,1,SNII,0.02161,SDSS,2012eh,01 27 31.4362,+14 49 05.3645,01 27 31.0304,+15 00 05.16,8.207,0.177,3.706,0.08,0.04,0.1,-17.43,-19.4,-20.54,-0.18,9.85,-10.04,6.51,14,Simbad,504
00 37 39.508800,+10 21 29.01780,PTF12mav,1,SNII,0.015297,NED,2012fs,00 37 39.5088,+10 21 29.0178,00 37 39.8805,+10 49 36.14,5.499,0.192,1.771,0.062,0.15,0.17,-17.34,-19.96,-21.13,-0.05,10.18,-10.26,5.64,15,Simbad,505
08 21 07.512400,+60 51 02.13010,PTF12mca,1,SNII,0.0287,NED,,08 21 07.5124,+60 51 02.1301,08 21 07.7870,+60 55 47.45,3.333,0.064,1.982,0.038,0.06,0.17,-17.64,-19.74,-20.63,0.09,9.86,-9.8,4.59,10,Simbad,506
07 08 08.749933,+48 51 48.80450,PTF12mfx,1,SNIb,0.1131,GAL.LINES,,07 08 08.7499,+48 51 48.8045,07 08 08.8295,+49 39 08.05,1.033,0.215,2.192,0.456,0.06,0.31,-15.78,-17.33,-17.66,0.19,7.52,-7.33,0.05,2,Simbad,507
08 48 46.275533,+46 58 25.58640,PTF12mhg,1,SNII,0.163,GAL.LINES,,08 48 46.2755,+46 58 25.5864,08 48 46.2408,+47 22 48.50,0.856,0.152,2.474,0.439,0.02,0.12,-14.37,-15.09,-14.72,-1.19,6.65,-7.81,0.14,2,Simbad,508
11 03 05.404000,+36 41 02.66570,PTF12mja,1,SNII,0.073,MATCHING,,11 03 05.4040,+36 41 02.6657,,,,,,,0.02,,,,,,,,,0,Simbad,509
08 28 35.122933,+65 10 55.62190,PTF12mkp,1,SLSN-IIn,0.153,MATCHING,,08 28 35.1229,+65 10 55.6219,08 28 35.1597,+66 06 05.31,0.521,0.165,1.429,0.453,0.04,0.26,-11.69,-13.44,-13.96,-1.5,6.29,-7.78,0.14,3,Simbad,510
03 18 51.078000,-11 49 13.16890,PTF12mue,1,SLSN-IIn,0.2785,GAL.LINES,,03 18 51.0780,-11 49 13.1689,03 18 51.0652,-12 02 14.60,0.202,0.372,0.881,1.622,0.06,0.1,-16.72,-18.01,-18.69,-0.4,8.81,-9.2,3.88,6,Simbad,511
22 30 16.714000,+27 58 22.18440,PTF12mxx,1,SLSN-I,0.327,MATCHING,,22 30 16.7140,+27 58 22.1844,22 30 16.7555,+28 20 02.42,0.569,0.159,2.771,0.774,0.04,0.16,-15.52,-16.98,-17.58,-0.68,8.3,-8.98,2.26,6,Simbad,512
01 49 47.683800,+31 44 50.23070,PTF12ne,1,SNII,0.041,MATCHING,2012S,01 49 47.6838,+31 44 50.2307,01 49 48.0964,+32 20 57.79,14.273,0.15,11.946,0.126,0.04,0.16,-17.23,-18.75,-19.21,-0.07,9.11,-9.16,2.64,7,Simbad,513
15 00 00.292800,+01 53 30.07500,PTF12os,1,SNIIb,0.00449,SDSS,2004dg,15 00 00.2928,+01 53 30.0750,15 00 00.3798,+02 21 48.97,1.812,0.182,0.174,0.017,0.04,0.29,-16.01,-19.38,-21.04,-0.15,10.29,-10.45,8.05,17,Simbad,514
04 50 27.871533,-03 29 23.90210,PTF12th,2,SNIIn,0.0837,GAL.LINES,2012Y,04 50 27.8715,-03 29 23.9021,04 50 27.9316,-03 53 39.50,1.175,0.223,1.909,0.362,0.03,0.47,-13.94,-16.92,-18.73,,8.69,-8.65,1.03,3,Simbad,515
04 40 49.034533,+06 31 11.45140,PTF12xv,1,SNIIn,0.12,GAL.LINES,,04 40 49.0345,+06 31 11.4514,04 40 48.9965,+06 42 44.84,0.638,0.09,1.425,0.201,0.13,0.28,-16.67,-18.46,-19.04,0.27,8.6,-8.33,0.51,7,Simbad,516
11 18 57.000933,+13 03 50.08070,iPTF13aaz,1,SNII,0.00269,NED,2013am,11 18 57.0009,+13 03 50.0807,11 18 55.7831,+13 38 15.42,104.699,0.362,6.023,0.021,0.02,0.22,-13.94,-19.61,-21.93,-1.15,10.65,-11.81,7.97,15,Simbad,517
12 38 12.493733,+07 09 01.97780,iPTF13ab,1,SNIc,0.048877,NED,,12 38 12.4937,+07 09 01.9778,12 38 12.8916,+08 07 21.94,6.473,0.23,6.398,0.227,0.02,0.12,-17.47,-18.96,-19.06,-0.28,9.03,-9.32,0.85,14,Simbad,518
14 12 14.012200,+15 50 31.63270,iPTF13aby,1,SNIIb,0.017505,NED,2013bb,14 12 14.0122,+15 50 31.6327,14 12 15.8059,+16 20 53.12,25.895,0.193,9.52,0.071,0.01,0.32,-17.49,-20.16,-21.65,0.64,10.34,-9.7,6.93,13,Simbad,519
14 34 32.128533,+25 09 42.18440,iPTF13agz,1,SNIIn,0.05723,NED,,14 34 32.1285,+25 09 42.1844,14 34 32.0949,+25 50 29.98,0.822,0.282,0.942,0.323,0.03,0.08,-18.05,-19.75,-20.95,0.05,10.0,-9.96,7.07,14,Simbad,520
16 39 03.921600,+37 01 38.63530,iPTF13ajg,1,SLSN-I,0.735,MATCHING,,16 39 03.9216,+37 01 38.6353,16 39 03.9234,+37 39 31.84,0.107,0.279,0.802,2.091,0.01,0.13,-15.63,-16.28,-15.9,-0.52,6.88,-7.39,0.05,4,Simbad,521
08 38 06.868400,+66 31 34.30160,iPTF13ajn,1,SNIIb,0.030064,NED,,08 38 06.8684,+66 31 34.3016,08 38 07.9196,+67 11 51.86,9.084,0.117,5.649,0.073,0.04,0.19,-18.43,-20.43,-21.4,0.49,10.21,-9.71,7.63,17,Simbad,522
11 34 36.404000,+54 53 23.53740,iPTF13akg,1,SNII,0.019326,NED,2013cf,11 34 36.4040,+54 53 23.5374,11 34 37.0213,+55 21 42.74,7.426,0.157,3.007,0.064,0.01,0.33,-14.73,-18.07,-19.79,-0.49,9.69,-10.17,5.58,14,Simbad,523
14 35 34.363733,+38 38 31.23240,iPTF13aki,1,SNIIn,0.1704,GAL.LINES,,14 35 34.3637,+38 38 31.2324,14 35 34.3748,+39 11 01.10,1.791,0.272,5.368,0.815,0.01,0.03,-17.59,-18.23,-17.86,-0.36,8.24,-8.59,0.84,9,Simbad,524
12 44 51.834933,+09 16 04.62400,iPTF13al,1,SNII,0.08369,SDSS,,12 44 51.8349,+09 16 04.6240,12 44 52.0796,+09 24 10.39,5.071,0.435,8.237,0.707,0.02,0.07,-18.62,-19.89,-20.14,0.14,9.41,-9.28,1.96,14,Simbad,525
09 35 12.827400,+22 14 36.51580,iPTF13ala,1,SLSN-IIn,0.2496,GAL.LINES,,09 35 12.8274,+22 14 36.5158,09 35 12.7458,+22 51 04.15,1.261,0.22,5.081,0.886,0.02,0.49,-13.52,-16.25,-17.86,0.01,7.97,-7.93,0.19,3,Simbad,526
11 48 02.066200,+54 34 38.19470,iPTF13alq,1,SNIc-BL,0.0542,GAL.LINES,2013bn,11 48 02.0662,+54 34 38.1947,11 48 02.1258,+55 12 47.86,0.795,0.262,0.866,0.285,0.01,0.11,-16.01,-16.95,-16.79,-0.83,8.16,-8.97,2.19,10,Simbad,527
11 49 19.820533,+42 58 05.33320,iPTF13ao,1,SNII,0.0652,GAL.LINES,,11 49 19.8205,+42 58 05.3332,11 49 19.7423,+43 04 05.48,1.145,0.221,1.481,0.286,0.02,0.29,-13.72,-15.55,-16.25,-0.82,7.5,-8.3,0.46,4,Simbad,528
11 29 19.784600,+58 07 21.43880,iPTF13aoj,1,SNII,0.0592,GAL.LINES,,11 29 19.7846,+58 07 21.4388,11 29 19.7164,+58 20 05.12,8.371,0.206,9.899,0.244,0.01,0.09,-17.28,-18.93,-19.33,-0.44,9.42,-9.87,5.15,16,Simbad,529
16 22 47.330000,+35 26 07.61210,iPTF13aoo,1,SNIIb,0.037,MATCHING,,16 22 47.3300,+35 26 07.6121,16 22 47.4301,+35 30 20.29,3.495,0.174,2.652,0.132,0.01,0.09,-14.93,-16.09,-16.31,-1.27,7.94,-9.19,3.41,12,Simbad,530
13 18 26.076333,+31 28 09.78170,iPTF13aot,1,SNIc,0.018693,NED,,13 18 26.0763,+31 28 09.7817,13 18 25.7439,+31 36 09.35,4.553,0.148,1.785,0.058,0.01,0.1,-18.6,-19.9,-20.25,0.2,9.59,-9.4,5.77,14,Simbad,531
11 51 18.501800,+54 47 36.18020,iPTF13aqf,1,SNII,0.066247,NED,,11 51 18.5018,+54 47 36.1802,11 51 19.6608,+55 23 42.37,10.037,0.256,13.172,0.336,0.01,0.13,-18.35,-20.29,-20.87,0.15,10.04,-9.91,4.62,13,Simbad,532
11 56 22.797400,+44 42 01.12320,iPTF13aqj,1,SNII,0.04776,SDSS,,11 56 22.7974,+44 42 01.1232,11 56 22.5804,+44 44 37.98,2.763,0.196,2.672,0.19,0.01,0.14,-18.42,-20.14,-20.71,0.22,10.03,-9.81,8.04,16,Simbad,533
12 47 28.581733,+27 04 03.84820,iPTF13asr,1,SNIIn,0.1543,GAL.LINES,,12 47 28.5817,+27 04 03.8482,12 47 28.5942,+27 07 30.56,0.378,0.228,1.044,0.63,0.01,0.14,-18.32,-19.56,-19.94,0.34,9.29,-8.91,1.9,10,Simbad,534
14 33 58.856000,+40 14 22.59850,iPTF13ast,1,SNIIb,0.0252,SDSS,2013cu,14 33 58.8560,+40 14 22.5985,14 33 58.6307,+40 53 40.68,17.273,0.114,9.056,0.06,0.01,0.13,-18.48,-20.46,-21.47,0.28,10.28,-9.99,7.92,16,Simbad,535
12 09 11.719000,+43 25 00.82490,iPTF13b,1,SNII,0.026,MATCHING,,12 09 11.7190,+43 25 00.8249,12 09 11.5823,+43 26 21.46,1.583,0.232,0.855,0.125,0.01,0.13,-14.49,-15.84,-16.13,-1.34,8.09,-9.41,6.32,12,Simbad,536
12 36 56.155533,+13 07 45.58580,iPTF13bdl,1,SLSN-I,0.402,GAL.LINES,,12 36 56.1555,+13 07 45.5858,,,,,,,0.04,1.15,-3.07,-10.07,-14.08,-1.39,6.46,-8.07,0.26,5,Simbad,537
16 12 26.632533,+14 19 17.92310,iPTF13beo,1,SNIbn,0.0907,GAL.LINES,,16 12 26.6325,+14 19 17.9231,16 12 26.5438,+14 36 45.19,1.301,0.124,2.272,0.217,0.04,0.13,-16.0,-18.12,-18.82,-0.77,9.21,-10.01,4.23,14,Simbad,538
11 15 53.682533,+18 19 04.74820,iPTF13bg,1,SNII,0.0699,GAL.LINES,,11 15 53.6825,+18 19 04.7482,11 15 54.0080,+18 20 06.19,5.897,0.378,8.131,0.521,0.02,0.09,-16.43,-18.33,-18.89,-0.77,9.3,-10.07,6.22,13,Simbad,539
14 14 52.095000,+36 47 28.65080,iPTF13bjx,1,SNII,0.027863,NED,,14 14 52.0950,+36 47 28.6508,14 14 51.2594,+37 10 59.22,11.068,0.152,6.396,0.088,0.01,0.28,-18.19,-20.44,-21.63,0.76,10.29,-9.53,8.18,15,Simbad,540
10 38 19.823400,+24 24 51.03500,iPTF13bjz,1,SLSN-I,0.2711,GAL.LINES,,10 38 19.8234,+24 24 51.0350,10 38 19.7440,+25 15 04.37,1.086,0.14,4.646,0.599,0.02,0.17,-15.9,-16.74,-16.71,-0.39,7.44,-7.73,0.12,2,Simbad,541
12 42 10.058933,+14 15 38.17910,iPTF13bks,1,SNII,0.0703,GAL.LINES,,12 42 10.0589,+14 15 38.1791,12 42 10.0877,+14 53 00.77,0.451,0.196,0.625,0.272,0.03,0.08,-16.53,-17.81,-18.05,-0.74,8.86,-9.59,6.58,11,Simbad,542
16 24 54.580200,+41 02 59.64680,iPTF13bld,1,SNII,0.03307,SDSS,,16 24 54.5802,+41 02 59.6468,16 24 54.1751,+41 05 47.53,5.558,0.203,3.788,0.138,0.01,0.25,-16.96,-20.44,-22.43,0.18,10.6,-10.46,3.94,16,Simbad,543
16 46 25.546200,+36 39 49.27750,iPTF13blq,1,SNIIb,0.0874,GAL.LINES,,16 46 25.5462,+36 39 49.2775,16 46 25.5609,+37 28 32.55,0.319,0.18,0.539,0.304,0.02,0.05,-16.04,-17.21,-17.19,-1.09,8.55,-9.64,5.4,11,Simbad,544
22 38 53.449933,+10 09 46.63260,iPTF13bnu,1,SNII,0.079,MATCHING,,22 38 53.4499,+10 09 46.6326,22 38 53.4875,+10 59 18.79,3.722,0.15,5.738,0.231,0.08,0.13,-18.06,-20.04,-20.66,0.14,9.72,-9.61,1.72,12,Simbad,545
